sap,employee,cashier,locality,area,coordinate,night_acceptance,night_display,cash_desks,store_concept,tobacco_shop,dominators,universal_assortment
46c96694-9fa1-3f83-1b8c-668dbbb0f5c3,0.12244897959183673,0.4,Сланцы,0.10098920863309353,"(59.11779, 28.088145)",0,0,0.0,0,0.09090909090909091,1,0.047619047619047616
5041454b-fa43-b862-570d-33f59ab1ddf9,0.7346938775510204,0.05714285714285714,Санкт-Петербург,0.7149280575539568,"(59.938955, 30.315644)",1,0,0.2857142857142857,1,0.09090909090909091,1,0.7619047619047619
73d9331f-719a-0e7e-d7e4-7fb94c0eb2d3,0.20408163265306123,0.2,Пикалево,0.3231115107913669,"(59.512684, 34.177483)",0,0,0.07142857142857142,1,0.09090909090909091,1,0.2857142857142857
34ff6c49-0fb7-3270-a549-c86ea3f51821,0.3877551020408163,0.02857142857142857,г.Петрозаводск,0.5569244604316547,"(61.785021, 34.346878)",0,0,0.35714285714285715,1,0.09090909090909091,1,0.7619047619047619
45a504ab-7371-d348-074d-dce14f78bd9c,0.22448979591836735,0.34285714285714286,г.Медвежьегорск,0.2329136690647482,"(62.914998, 34.473101)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
123948b4-b433-0039-5c86-1b662462d4e7,0.24489795918367346,0.22857142857142856,г.Лахденпохья,0.13219424460431656,"(61.521157, 30.194488)",0,0,0.14285714285714285,0,0.36363636363636365,1,0.047619047619047616
adb5d6bb-e0df-d352-1ac9-1f183c96bf48,0.32653061224489793,0.2857142857142857,г.Петрозаводск,0.15557553956834533,"(61.785021, 34.346878)",1,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
344ecca7-c4c5-8d67-92c0-31602fe5bf1f,0.14285714285714285,0.2571428571428571,г.Петрозаводск,0.19874100719424462,"(61.785021, 34.346878)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
9489234d-bbfa-6c55-79bb-c56fadfa6206,0.30612244897959184,0.17142857142857143,г.Сортавала,0.32014388489208634,"(61.702943, 30.691633)",0,0,0.14285714285714285,0,0.09090909090909091,1,0.5238095238095238
c09d4924-4365-b5cd-9eb2-8cd9f242cfb9,0.22448979591836735,0.34285714285714286,пгт.Пиндуши,0.23651079136690648,"(62.916878, 34.578491)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.2857142857142857
f6fb4ffb-d3c8-128c-47b4-557fe09942c7,0.24489795918367346,0.3142857142857143,г.Сегежа,0.23651079136690648,"(63.743705, 34.312617)",0,0,0.14285714285714285,1,0.36363636363636365,1,0.2857142857142857
8ece6fae-4771-0045-b399-e5331402c047,0.20408163265306123,0.3142857142857143,г.Беломорск,0.23651079136690648,"(64.53032, 34.763328)",0,0,0.14285714285714285,1,0.36363636363636365,1,0.2857142857142857
0bb0f370-d733-3fbd-e573-a4bdb1a742db,0.10204081632653061,0.2571428571428571,г.Суоярви,0.13309352517985612,"(62.087946, 32.373325)",0,0,0.14285714285714285,0,0.09090909090909091,1,0.047619047619047616
8cac8038-dc45-c4b4-9600-1061215fc1da,0.22448979591836735,0.17142857142857143,г.Петрозаводск,0.20863309352517986,"(61.785021, 34.346878)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.2857142857142857
88d602dc-97be-7d63-ab5b-5bc7b69cbfd3,0.20408163265306123,0.22857142857142856,г.Сортавала,0.2517985611510791,"(61.702943, 30.691633)",0,0,0.07142857142857142,0,0.2727272727272727,1,0.5238095238095238
3c9c1eb7-22f5-ab2b-9021-8a376fcb50ce,0.14285714285714285,0.3142857142857143,г.Сортавала,0.11241007194244604,"(61.702943, 30.691633)",0,0,0.07142857142857142,0,0.0,1,0.047619047619047616
b54d9aad-2257-4e1c-058a-d7494737b701,0.20408163265306123,0.11428571428571428,г.Петрозаводск,0.15017985611510792,"(61.785021, 34.346878)",0,0,0.07142857142857142,0,0.09090909090909091,1,0.047619047619047616
