sap,type_meal,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,ИЮЛ 2021
aefea74c-6d04-a7ec-237b-c4822908fb5d,Фрукты/Ягоды,0.04187369187541534,0.03454776476252202,0.03774479180190623,0.031512272312713877,0.04195383069557481,0.06071424623349687,0.051740542217595754,0.08392297984882176,0.08098403852025615,0.07993740732506396,0.053884522028119525,0.046569130602829495,0.049724158936490306,0.04161171469092577,0.04981220755164289,0.044056906642133964,0.04067116549321419,0.037812749024735096,0.03721226801985716,0.05249404359038597,0.07399768101389272
e2925dd4-1cb1-4a35-0c85-65c54f367b56,Овощи/Грибы,0.0995332334738618,0.0899439994319558,0.08949882746222469,0.09183364954402892,0.12205371644391529,0.10894588939460079,0.10918221600396576,0.11198158272133898,0.09624462376408294,0.0963652693498987,0.08709680285108251,0.09322459770127835,0.11107062040025599,0.1101324344807125,0.11806095796433946,0.11335663192126329,0.11005933200630139,0.04322390455216006,0.17319980092379642,0.19003378698392612,0.1574961683424939
e2925dd4-1cb1-4a35-0c85-65c54f367b56,Овощи/Зелень,0.056160059771973796,0.05474198376888284,0.05505885193947962,0.052445356056505826,0.08162839587305581,0.08182611507950581,0.07305084939164236,0.07850118608396878,0.08337214807585477,0.1022035355458591,0.0749143102805317,0.07788771931267525,0.08444996141804989,0.08639968297094613,0.09116964571121101,0.08903551877462952,0.10025042684558154,0.028073496822431904,0.0947034035001787,0.10121183765818005,0.13209492757785893
e2925dd4-1cb1-4a35-0c85-65c54f367b56,Фрукты/Экзотика,0.08389542595112795,0.0932103230521818,0.07555086552928114,0.06390377897147533,0.07315457686027238,0.07224654569247059,0.05195218074718853,0.03405034863525532,0.059548574315689,0.11612242714222575,0.11045651365899971,0.12012403020207138,0.12298685684931145,0.12452156004957912,0.11291135180396217,0.07595220280069336,0.06799257688406661,0.01979196713357076,0.04514364155588645,0.042161739505686524,0.08050439170180115
e2925dd4-1cb1-4a35-0c85-65c54f367b56,Фрукты/Ягоды,0.06983115292051649,0.05644722347948832,0.0643113400137397,0.06334768731089878,0.09078262649511158,0.09944473193067356,0.08170856857664882,0.11672952553401392,0.12513832352501628,0.12133100636793917,0.0874509672070977,0.10188013670526697,0.10806829360109971,0.08711715479962834,0.10569787722038512,0.10397237981676673,0.09472271976666653,0.03228455947071865,0.09535947074413659,0.10768050186956928,0.17359647891532415
f5e9b20e-034b-6bd5-57a4-2e106c377445,Овощи/Грибы,0.09533367885504787,0.08072056510185172,0.07482769532069011,0.08179021356410979,0.10962285344249281,0.10782296551752005,0.11677112802765563,0.11437717580330294,0.09922590318340625,0.08436218028965249,0.07026906882847288,0.0837912139779883,0.08807131776058766,0.09647750573916666,0.09465594134558707,0.07693085428497853,0.08325242496527191,0.0865976571184652,0.10124153781159632,0.09952608759455212,0.10730875666264968
f5e9b20e-034b-6bd5-57a4-2e106c377445,Овощи/Зелень,0.05147759889933508,0.05028987481837389,0.04931547436930579,0.04685116508704142,0.06911176147181056,0.07795910614755672,0.06705484713513703,0.07201374176187826,0.07437218755772397,0.08600247968198162,0.051006371145192686,0.051327831749511,0.056274392111495514,0.06093138624282412,0.06274902576847728,0.05942606250996942,0.06575663729818024,0.07097288810854739,0.06513222620464401,0.06465436614581883,0.08507547910524188
f5e9b20e-034b-6bd5-57a4-2e106c377445,Фрукты/Экзотика,0.07889518083066373,0.08918754404167659,0.0726651835546782,0.056799732781638725,0.058602620809568365,0.0672840669010889,0.0507419218964802,0.04206569012183166,0.06503078434920749,0.12118684017244058,0.11194635338708872,0.09282411998430042,0.08605837797746492,0.0950892532419614,0.08478323448859836,0.055320907856238576,0.0482262552935446,0.03790826617995038,0.027629313166363106,0.02574046614742198,0.04340275433907354
f5e9b20e-034b-6bd5-57a4-2e106c377445,Фрукты/Ягоды,0.057436442375645325,0.04716766206151245,0.048342166271852456,0.050388352193848907,0.071635823681939,0.08418576595119753,0.07467975268120476,0.11142571134594619,0.11233047293623932,0.13075443606716636,0.08854628946447486,0.07141845142260499,0.0822605077279218,0.06775153369617253,0.07371309851241886,0.06546859600239907,0.06523030942677285,0.06250557814078883,0.05937877208958781,0.0750620893003163,0.11456312438899507
c799e66b-113e-fa3b-da35-233cb39f5676,Овощи/Грибы,0.06670262723338977,0.05676851520958904,0.05334012677240801,0.054909324109867624,0.07388090755315939,0.07501576719140703,0.07455227635672178,0.07881394428025165,0.06405819948795567,0.07084810157403154,0.05820829163910115,0.058271788359938695,0.06769193168202525,0.06860595735052047,0.06850203543847133,0.06490134840370419,0.06575563536748938,0.06938189907686741,0.08652605094750153,0.09096981020390299,0.08681405512611609
